AlphabetSize,TextSize,PatternSize,UniversalSymbolsAmount,Comparisons,TimeNs
4,100000,2800,3,1306334,34185351
4,100000,2800,4,1633454,43917274
4,100000,2900,0,332128,9351962
4,100000,2900,1,655506,16488033
4,100000,2900,2,980881,24197218
4,100000,2900,3,1305952,32323219
4,100000,2900,4,1631177,40168830
4,100000,3000,0,334002,8262731
4,100000,3000,1,657394,16419634
4,100000,3000,2,983689,24387456
4,100000,3000,3,1307612,32288936
4,100000,3000,4,1629111,39822069
